Date;Wind speed  (vc avg);Wind  direction  (vc avg);Wind  speed (max);Wind Dir.(Max wind speed);latitude;longitude;station_id
22 Aug 2017;1.2;228.40813853939;3.8;185.3;-24.1296;15.8947;31201
23 Aug 2017;0.9;217.42249849539;5.6;241.3;-24.1296;15.8947;31201
24 Aug 2017;;;0.0;0.0;-24.1296;15.8947;31201
25 Aug 2017;;;0.0;0.0;-24.1296;15.8947;31201
26 Aug 2017;;;0.0;0.0;-24.1296;15.8947;31201
27 Aug 2017;;;0.0;0.0;-24.1296;15.8947;31201
28 Aug 2017;;;0.0;0.0;-24.1296;15.8947;31201
29 Aug 2017;;;0.0;0.0;-24.1296;15.8947;31201
30 Aug 2017;;;0.0;0.0;-24.1296;15.8947;31201
31 Aug 2017;;;0.0;0.0;-24.1296;15.8947;31201
01 Sep 2017;;;0.0;0.0;-24.1296;15.8947;31201
02 Sep 2017;;;0.0;0.0;-24.1296;15.8947;31201
03 Sep 2017;;;0.0;0.0;-24.1296;15.8947;31201
04 Sep 2017;;;0.0;0.0;-24.1296;15.8947;31201
05 Sep 2017;;;0.0;0.0;-24.1296;15.8947;31201
06 Sep 2017;;;0.0;0.0;-24.1296;15.8947;31201
07 Sep 2017;;;0.0;0.0;-24.1296;15.8947;31201
08 Sep 2017;;;0.0;0.0;-24.1296;15.8947;31201
09 Sep 2017;;;0.0;0.0;-24.1296;15.8947;31201
10 Sep 2017;;;0.0;0.0;-24.1296;15.8947;31201
11 Sep 2017;;;0.0;0.0;-24.1296;15.8947;31201
12 Sep 2017;;;0.0;0.0;-24.1296;15.8947;31201
13 Sep 2017;;;0.0;0.0;-24.1296;15.8947;31201
14 Sep 2017;;;0.0;0.0;-24.1296;15.8947;31201
15 Sep 2017;;;0.0;0.0;-24.1296;15.8947;31201
16 Sep 2017;;;0.0;0.0;-24.1296;15.8947;31201
17 Sep 2017;;;0.0;0.0;-24.1296;15.8947;31201
18 Sep 2017;;;0.0;0.0;-24.1296;15.8947;31201
19 Sep 2017;;;0.0;0.0;-24.1296;15.8947;31201
20 Sep 2017;;;0.0;0.0;-24.1296;15.8947;31201
21 Sep 2017;;;0.0;0.0;-24.1296;15.8947;31201
22 Sep 2017;;;0.0;0.0;-24.1296;15.8947;31201
23 Sep 2017;;;0.0;0.0;-24.1296;15.8947;31201
24 Sep 2017;;;0.0;0.0;-24.1296;15.8947;31201
25 Sep 2017;;;0.0;0.0;-24.1296;15.8947;31201
26 Sep 2017;;;0.0;0.0;-24.1296;15.8947;31201
27 Sep 2017;;;0.0;0.0;-24.1296;15.8947;31201
28 Sep 2017;;;0.0;0.0;-24.1296;15.8947;31201
29 Sep 2017;;;0.0;0.0;-24.1296;15.8947;31201
30 Sep 2017;;;0.0;0.0;-24.1296;15.8947;31201
01 Oct 2017;;;;;-24.1296;15.8947;31201
02 Oct 2017;;;;;-24.1296;15.8947;31201
03 Oct 2017;;;;;-24.1296;15.8947;31201
04 Oct 2017;;;;;-24.1296;15.8947;31201
05 Oct 2017;;;;;-24.1296;15.8947;31201
06 Oct 2017;;;;;-24.1296;15.8947;31201
07 Oct 2017;;;;;-24.1296;15.8947;31201
08 Oct 2017;;;;;-24.1296;15.8947;31201
09 Oct 2017;;;;;-24.1296;15.8947;31201
10 Oct 2017;;;;;-24.1296;15.8947;31201
11 Oct 2017;;;;;-24.1296;15.8947;31201
12 Oct 2017;;;;;-24.1296;15.8947;31201
13 Oct 2017;;;;;-24.1296;15.8947;31201
14 Oct 2017;;;;;-24.1296;15.8947;31201
15 Oct 2017;;;;;-24.1296;15.8947;31201
16 Oct 2017;;;;;-24.1296;15.8947;31201
17 Oct 2017;;;;;-24.1296;15.8947;31201
18 Oct 2017;;;;;-24.1296;15.8947;31201
19 Oct 2017;;;;;-24.1296;15.8947;31201
20 Oct 2017;;;;;-24.1296;15.8947;31201
21 Oct 2017;;;;;-24.1296;15.8947;31201
22 Oct 2017;;;;;-24.1296;15.8947;31201
23 Oct 2017;;;;;-24.1296;15.8947;31201
24 Oct 2017;;;;;-24.1296;15.8947;31201
25 Oct 2017;;;;;-24.1296;15.8947;31201
26 Oct 2017;;;;;-24.1296;15.8947;31201
27 Oct 2017;;;;;-24.1296;15.8947;31201
28 Oct 2017;;;;;-24.1296;15.8947;31201
29 Oct 2017;;;;;-24.1296;15.8947;31201
30 Oct 2017;;;;;-24.1296;15.8947;31201
31 Oct 2017;;;;;-24.1296;15.8947;31201
01 Nov 2017;;;;;-24.1296;15.8947;31201
02 Nov 2017;;;;;-24.1296;15.8947;31201
03 Nov 2017;;;;;-24.1296;15.8947;31201
04 Nov 2017;;;;;-24.1296;15.8947;31201
05 Nov 2017;;;;;-24.1296;15.8947;31201
06 Nov 2017;;;;;-24.1296;15.8947;31201
07 Nov 2017;;;;;-24.1296;15.8947;31201
08 Nov 2017;;;;;-24.1296;15.8947;31201
09 Nov 2017;;;;;-24.1296;15.8947;31201
10 Nov 2017;;;;;-24.1296;15.8947;31201
11 Nov 2017;;;;;-24.1296;15.8947;31201
12 Nov 2017;;;;;-24.1296;15.8947;31201
13 Nov 2017;;;;;-24.1296;15.8947;31201
14 Nov 2017;;;;;-24.1296;15.8947;31201
15 Nov 2017;;;;;-24.1296;15.8947;31201
16 Nov 2017;;;;;-24.1296;15.8947;31201
17 Nov 2017;;;;;-24.1296;15.8947;31201
18 Nov 2017;;;;;-24.1296;15.8947;31201
19 Nov 2017;;;;;-24.1296;15.8947;31201
20 Nov 2017;;;;;-24.1296;15.8947;31201
21 Nov 2017;;;;;-24.1296;15.8947;31201
22 Nov 2017;;;;;-24.1296;15.8947;31201
23 Nov 2017;;;;;-24.1296;15.8947;31201
24 Nov 2017;;;;;-24.1296;15.8947;31201
25 Nov 2017;;;;;-24.1296;15.8947;31201
26 Nov 2017;;;;;-24.1296;15.8947;31201
27 Nov 2017;;;;;-24.1296;15.8947;31201
28 Nov 2017;;;;;-24.1296;15.8947;31201
29 Nov 2017;;;;;-24.1296;15.8947;31201
30 Nov 2017;;;;;-24.1296;15.8947;31201
01 Dec 2017;;;;;-24.1296;15.8947;31201
02 Dec 2017;;;;;-24.1296;15.8947;31201
03 Dec 2017;;;;;-24.1296;15.8947;31201
04 Dec 2017;;;;;-24.1296;15.8947;31201
